Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,Caged,Exp_Wild
YB140007 M,Yolo Bypass,NA,1999,M,-1.38,NA,uncaged,Wild
YB140008 M,Yolo Bypass,NA,1999,M,-2.46,NA,uncaged,Wild
YB140009 M,Yolo Bypass,NA,1999,M,-1.71,NA,uncaged,Wild
YB140010 M,Yolo Bypass,NA,1999,M,-1.04,NA,uncaged,Wild
YB140011 F COMBINE,Yolo Bypass,NA,1999,F,-0.95,NA,uncaged,Wild
YB140011 M,Yolo Bypass,NA,1999,M,-1.31,NA,uncaged,Wild
YB140012 M,Yolo Bypass,NA,1999,M,-1.78,NA,uncaged,Wild
YB140016 M,Yolo Bypass,NA,1999,M,-2.22,NA,uncaged,Wild
YB140017 M,Yolo Bypass,NA,1999,M,-3.85,NA,uncaged,Wild
YB140017 S COMBINED,Yolo Bypass,NA,1999,S,-0.7,NA,uncaged,Wild
YB140018 M,Yolo Bypass,NA,1999,M,-1.62,NA,uncaged,Wild
YB140019 M,Yolo Bypass,NA,1999,M,-1.89,NA,uncaged,Wild
YB140021 M,Yolo Bypass,NA,1999,M,-2.3,NA,uncaged,Wild
YB140022 M,Yolo Bypass,NA,1999,M,-2.3,NA,uncaged,Wild
YB140023 M,Yolo Bypass,NA,1999,M,-2.14,NA,uncaged,Wild
YB140024 M,Yolo Bypass,NA,1999,M,-2.29,NA,uncaged,Wild
YB140033 M,Yolo Bypass,NA,1999,M,-0.7,NA,uncaged,Wild
YB140034 M,Yolo Bypass,NA,1999,M,-1.47,NA,uncaged,Wild
YB140036 M,Yolo Bypass,NA,1999,M,-1.57,NA,uncaged,Wild
YB140041 M,Yolo Bypass,NA,1999,M,-1.4,NA,uncaged,Wild
YB140043 M,Yolo Bypass,NA,1999,M,-1.2,NA,uncaged,Wild
YB140045 M,Yolo Bypass,NA,1999,M,-0.21,NA,uncaged,Wild
YB140048 M,Yolo Bypass,NA,1999,M,-0.04,NA,uncaged,Wild
YB140049 M,Yolo Bypass,NA,1999,M,-3.67,NA,uncaged,Wild
YB140050 M,Yolo Bypass,NA,1999,M,-3.11,NA,uncaged,Wild
YB140051 M,Yolo Bypass,NA,1999,M,14.01,NA,uncaged,Wild
YB140052 M,Yolo Bypass,NA,1999,M,-1.58,NA,uncaged,Wild
YB140059 M,Yolo Bypass,NA,1999,M,-2.01,NA,uncaged,Wild
YB140060 M,Yolo Bypass,NA,1999,M,-2.57,NA,uncaged,Wild
YB140061 M,Yolo Bypass,NA,1999,M,-0.89,NA,uncaged,Wild
YB140062 M,Yolo Bypass,NA,1999,M,-2.98,NA,uncaged,Wild
YB140063 M,Yolo Bypass,NA,1999,M,-2.59,NA,uncaged,Wild
YB140064 M,Yolo Bypass,NA,1999,M,-0.91,NA,uncaged,Wild
YB140065 M,Yolo Bypass,NA,1999,M,0.93,NA,uncaged,Wild
YB140003 S COMBINED,Sacramento,NA,2012,S,3.52,NA,uncaged,Wild
YB140005 M,Sacramento,NA,2012,M,12.19,NA,uncaged,Wild
YB140005 S,Sacramento,NA,2012,S,7.48,NA,uncaged,Wild
